,point
0,-1.67015749176921
1,0.634933079268734
2,16.995748355661547
3,15.288162662090212
4,18.84201073801453
5,42.271980741175675
6,5.876707532919697
7,29.52443661215987
8,30.403967360013407
9,7.652331447746279
10,37.85708264589758
11,24.744020243420103
12,25.87264291733006
13,10.670452597326303
14,24.49365373625789
15,21.061903233462345
16,30.446668388319
17,50.990491745935714
18,19.1717514237194
19,-2.160181155408292
20,10.953037536331257
21,29.083941240910452
22,40.433121938303586
23,9.956849581349163
24,39.66043056163092
25,17.18446643641025
26,31.634365709607827
27,22.627624406174448
28,19.34532851613455
29,37.26640592354004
30,14.598021121739198
31,13.831061714560374
32,34.217756193106425
33,20.03367485531414
34,6.831386194680309
35,14.804021093646686
36,31.741101616692564
37,35.969740537096314
38,12.856061678616596
39,18.012770741878498
40,23.406256429937358
41,1.7275555364549113
42,8.273992802945623
43,-6.135788334329323
44,25.150728045165256
45,30.275450243635387
46,23.829442826650087
47,19.02645880383323
48,38.9060039040334
49,9.307634752849724
50,-0.6865395527024205
51,4.462064455645699
52,16.47355927244459
53,1.5657837580867557
54,17.258439165484592
55,30.713100365364248
56,15.288799025533688
57,12.018989615885596
58,13.991827549006427
59,3.1408565543550075
60,31.55859338227589
61,11.994419597973126
62,10.033517149340359
63,24.133860022158217
64,11.64796702440307
65,34.41148380241432
66,17.955553637243852
67,16.42551011187134
68,12.608208962889778
69,13.983341074819435
70,15.708853124076358
71,31.17886946463345
72,20.339782085980513
73,13.00295639831084
74,22.193534703127952
75,17.230082076738654
76,21.607659136737894
77,10.207229326652545
78,40.30331628210217
79,5.643091666526569
80,-2.401543814173234
81,15.992693512489309
82,15.130729717714358
83,33.014189289590796
84,15.938946742260715
85,23.895679140132867
86,12.201796351147326
87,10.13242469541622
88,42.5887720272806
89,17.103392577147833
90,8.598229760422328
91,-4.59373766159052
92,15.59330338848747
93,15.047457513376457
94,26.774679891514495
95,29.45389087888046
96,16.37995232434043
97,15.016011689297848
98,37.54998573938253
99,32.80169199181097
100,40.04024749980228
101,27.46289984160341
102,7.531166811145749
103,15.37943110226177
104,0.6260003529077736
105,-2.42489035296369
106,-0.6415829774171478
107,8.089732620269128
108,8.65986299982985
109,24.53062535322805
110,14.709776060632826
111,30.950947551116315
112,32.36264343030239
113,31.6081104462409
114,34.629153922153435
115,15.220637769878827
116,42.73630920737661
117,26.867195115850528
118,12.69980763409902
119,26.81771345423424
120,28.55785463479382
121,38.95689412049336
122,6.253605898962821
123,28.18095742226137
124,12.774995958757328
125,22.813625768809704
126,32.4995711572912
127,14.52241217361118
128,42.40086888727774
129,24.0280391476869
130,9.612700657168444
131,14.44195663852788
132,19.54445511708665
133,42.270516664920166
134,14.432930926497143
135,18.21222285837404
136,35.10952647070536
137,30.44433023598596
138,29.804353319094908
139,38.87311161548783
140,37.22691221560605
